[ RUN      ] BootstrapTest.FileSharing
[2025-01-28 21:46:27.900386] [0x00007f88cde5b6c0] [debug]   Constructing TCP_Peer
[2025-01-28 21:46:27.900396] [0x00007f88cde5b6c0] [debug]   Input stream initialized
[2025-01-28 21:46:27.900399] [0x00007f88cde5b6c0] [info]    TCP_Peer instance created successfully
[2025-01-28 21:46:27.900404] [0x00007f88c6ffd6c0] [debug]   Input stream initialized
[2025-01-28 21:46:27.900420] [0x00007f88c6ffd6c0] [info]    TCP_Peer instance created successfully
[2025-01-28 21:46:27.900434] [0x00007f88c6ffd6c0] [info]    Added peer with ID: 1
[2025-01-28 21:46:27.900446] [0x00007f88c6ffd6c0] [debug]   Setting stream processor
[2025-01-28 21:46:27.900453] [0x00007f88c6ffd6c0] [debug]   Stream processor configured
[2025-01-28 21:46:27.900460] [0x00007f88c6ffd6c0] [debug]   Attempting to start stream processing
[2025-01-28 21:46:27.900473] [0x00007f88cde5b6c0] [info]    Added peer with ID: 2
[2025-01-28 21:46:27.900481] [0x00007f88cde5b6c0] [debug]   Setting stream processor
[2025-01-28 21:46:27.900483] [0x00007f88cde5b6c0] [debug]   Stream processor configured
[2025-01-28 21:46:27.900486] [0x00007f88cde5b6c0] [debug]   Attempting to start stream processing
[2025-01-28 21:46:27.900554] [0x00007f88c6ffd6c0] [info]    Stream processing started successfully
[2025-01-28 21:46:27.900567] [0x00007f88cde5b6c0] [info]    Stream processing started successfully
[2025-01-28 21:46:27.900582] [0x00007f88cd65a6c0] [debug]   Setting up stream processing
[2025-01-28 21:46:27.900618] [0x00007f88cd65a6c0] [trace]   Setting up next async read
[2025-01-28 21:46:27.900626] [0x00007f88cde5b6c0] [info]    Accepted and initialized new connection from peer: 2
[2025-01-28 21:46:27.900641] [0x00007f88cde5b6c0] [debug]   Creating new socket for incoming connection
[2025-01-28 21:46:27.900678] [0x00007f88c6ffd6c0] [info]    Accepted and initialized new connection from peer: 1
[2025-01-28 21:46:27.900701] [0x00007f88c6ffd6c0] [debug]   Creating new socket for incoming connection
[2025-01-28 21:46:27.900717] [0x00007f88c6ffd6c0] [info]    Bootstrap program: Bootstrap successfully started
[2025-01-28 21:46:27.900731] [0x00007f88c7fff6c0] [debug]   Setting up stream processing
[2025-01-28 21:46:27.900744] [0x00007f88c7fff6c0] [trace]   Setting up next async read
[2025-01-28 21:46:27.900753] [0x00007f88cde5b6c0] [debug]   Handshake complete for peer: 2
[2025-01-28 21:46:27.900770] [0x00007f88cde5b6c0] [debug]   Creating new socket for incoming connection
[2025-01-28 21:46:31.899512] [0x00007f88cde61d80] [info]    Storing file with filename: test.txt
[2025-01-28 21:46:31.899541] [0x00007f88cde61d80] [info]    Storing data with key: test.txt
[2025-01-28 21:46:31.899557] [0x00007f88cde61d80] [debug]   Generating hash for key: test.txt
[2025-01-28 21:46:31.901412] [0x00007f88cde61d80] [debug]   Generated hash: a6ed0c785d4590bc95c216bcf514384eee6765b1c2b732d0b0a1ad7e14d3204a
[2025-01-28 21:46:31.901435] [0x00007f88cde61d80] [debug]   Calculated path: fileserver_1/a6/ed/0c/785d4590bc95c216bcf514384eee6765b1c2b732d0b0a1ad7e14d3204a
[2025-01-28 21:46:31.901450] [0x00007f88cde61d80] [debug]   Calculated file path: fileserver_1/a6/ed/0c/785d4590bc95c216bcf514384eee6765b1c2b732d0b0a1ad7e14d3204a
[2025-01-28 21:46:31.901628] [0x00007f88cde61d80] [info]    Successfully stored 17 bytes with key: test.txt
[2025-01-28 21:46:31.901640] [0x00007f88cde61d80] [info]    Preparing file: test.txt for broadcast with message type: 0
[2025-01-28 21:46:31.901677] [0x00007f88cde61d80] [info]    Initializing CryptoStream
[2025-01-28 21:46:31.901684] [0x00007f88cde61d80] [debug]   CryptoStream initialization complete
[2025-01-28 21:46:31.901691] [0x00007f88cde61d80] [debug]   Generating initialization vector
